SIS Login ID,Section,YOUR-CHOICE -- Zoo Visit (3435908),YOUR-CHOICE -- Greenhouse Inventory (3435906),YOUR-CHOICE -- Citation Manager (3435905),YOUR-CHOICE -- Introduction to R (3435907),YOUR-CHOICE -- Critical Book Report(s) (3436027),YOUR-CHOICE -- Mauna Loa Observatory (3436081),YOUR-CHOICE -- Interviews (3436093),Quiz 1 (3435895),Quiz 2 (3435897),Quiz 3 (3435898),Quiz 4 (3435899),Quiz 5 (3435900),Quiz 6 (3435901),Quiz 7 (3435902),Quiz 8 (3435903),Quiz 9 (3435904),Quiz 10 (3435896),Pre-Test (3435894),Post-Test (3608061),YOUR-CHOICE -- Midterm (3580296),YOUR-CHOICE -- Final (3580295),Exam 1 (3435890),Exam 2 (3435891),Exam 3 (3435892),Exam 4 (3435893),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Final Score,Quizzes Current Points,Quizzes Final Points,Quizzes Current Score,Quizzes Final Score,Exams Current Points,Exams Final Points,Exams Current Score,Exams Final Score,Pre- Post-Tests Current Points,Pre- Post-Tests Final Points,Pre- Post-Tests Current Score,Pre- Post-Tests Final Score,Your-Choice Current Points,Your-Choice Final Points,Your-Choice Current Score,Your-Choice Final Score,Current Points,Final Points,Current Score,Final Score
10735804,BIOL-1620-003,10,10,10,30,80,10,,0,4,4,6,6,10,6,10,10,10,50,42,50,100,74,77,68,80,0,0,,,66,66,66,66,299,299,74.75,74.75,92,92,92,92,150,150,150,150,607,607,86.71,86.71
10575405,BIOL-1620-003,10,10,10,30,30,10,30,0,6,0,6,6,10,8,10,10,10,50,44,55,75,77,67,78,70,0,0,,,66,66,66,66,292,292,73,73,94,94,94,94,130,130,130,130,582,582,83.14,83.14
10709700,BIOL-1620-003,10,10,10,30,60,,30,0,5,0,8,8,10,8,10,10,10,50,42,50,100,59,74,86,75,0,0,,,69,69,69,69,294,294,73.5,73.5,92,92,92,92,150,150,150,150,605,605,86.43,86.43
10797078,BIOL-1620-003,10,,10,30,,10,10,4,0,4,0,8,10,0,10,10,0,50,0,50,20,67,69,70,70,0,0,,,46,46,46,46,276,276,69,69,50,50,50,50,70,70,70,70,442,442,63.14,63.14
10783687,BIOL-1620-003,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.57,0.57
10627514,BIOL-1620-003,10,10,10,30,,10,30,0,3,2,0,6,10,2,10,10,10,50,24,50,50,57,51,62,37,0,0,,,53,53,53,53,207,207,51.75,51.75,74,74,74,74,100,100,100,100,434,434,62,62
10808341,BIOL-1620-003,10,10,,30,110,,,0,1,4,0,3,10,6,10,10,10,50,38,50,100,57,63,70,71,0,0,,,54,54,54,54,261,261,65.25,65.25,88,88,88,88,150,150,150,150,553,553,79,79
10835131,BIOL-1620-003,,,,,,,,2,0,0,0,0,10,0,10,10,0,50,0,0,0,64,0,0,0,0,0,,,32,32,32,32,64,64,16,16,50,50,50,50,0,0,0,0,146,146,20.86,20.86
10772386,BIOL-1620-003,10,10,,30,130,,,7,9,6,8,10,10,8,10,10,0,50,50,50,100,89,90,91,83,0,0,,,78,78,78,78,353,353,88.25,88.25,100,100,100,100,150,150,150,150,681,681,97.29,97.29
10777242,BIOL-1620-003,10,10,10,30,30,,20,0,5,0,6,6,10,4,10,10,10,50,38,50,100,62,75,89,76,0,0,,,61,61,61,61,302,302,75.5,75.5,88,88,88,88,150,150,150,150,601,601,85.86,85.86
10735861,BIOL-1620-003,,10,10,30,,,,0,2,2,4,4,10,0,10,10,0,50,36,50,0,48,54,48,46,0,0,,,42,42,42,42,196,196,49,49,86,86,86,86,50,50,50,50,374,374,53.43,53.43
10831968,BIOL-1620-003,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,,,0,0,0,0,18,18,4.5,4.5,0,0,0,0,0,0,0,0,18,18,2.57,2.57
10624126,BIOL-1620-003,10,10,10,30,80,,,3,3,0,0,8,10,6,10,10,10,50,42,50,90,81,73,76,78,0,0,,,60,60,60,60,308,308,77,77,92,92,92,92,140,140,140,140,600,600,85.71,85.71
10795101,BIOL-1620-003,,10,,30,80,,30,2,4,5,8,6,10,8,10,10,10,50,44,50,104,70,59,69,81,0,0,,,73,73,73,73,279,279,69.75,69.75,94,94,94,94,154,154,154,154,600,600,85.71,85.71
10627567,BIOL-1620-003,,10,,30,,,,0,0,2,6,6,10,0,10,10,10,50,46,40,0,60,67,60,50,0,0,,,54,54,54,54,237,237,59.25,59.25,96,96,96,96,40,40,40,40,427,427,61,61
10739479,BIOL-1620-003,10,10,,30,90,10,20,0,0,2,4,10,10,0,10,10,10,50,24,55,95,40,64,48,64,0,0,,,56,56,56,56,216,216,54,54,74,74,74,74,150,150,150,150,496,496,70.86,70.86
10814496,BIOL-1620-003,,10,,30,90,,10,2,5,4,4,0,0,0,10,10,10,50,32,50,90,52,36,46,49,0,0,,,45,45,45,45,183,183,45.75,45.75,82,82,82,82,140,140,140,140,450,450,64.29,64.29
