SIS Login ID,Section,Quiz 1 (3436783),Quiz 2 (3434193),Quiz 3 (3436786),Quiz 4 (3434195),Quiz 5 (3436788),Quiz 6 (3436789),Quiz 7 (3434198),Quiz 8 (3434199),Quiz 9 (3434200),Quiz 10 (3436784),Exam 1 (3436778),Exam 2 (3436779),Exam 3 (3434204),Exam 4 (3434205),YOUR-CHOICE -- Greenhouse Inventory (3434380),YOUR-CHOICE -- Citation Manager (3434395),YOUR-CHOICE -- Critical Book Report(s) (3436794),YOUR-CHOICE -- Mauna Loa Observatory (3436798),YOUR-CHOICE -- Zoo Visit (3434349),YOUR-CHOICE -- Interviews (3436796),YOUR-CHOICE -- Introduction to R (3436797),YOUR-CHOICE -- Final (3580288),YOUR-CHOICE -- Midterm (3580262),Pre-Test (3434152),Post-Test (3608052),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Final Score,Quizzes Current Points,Quizzes Final Points,Quizzes Current Score,Quizzes Final Score,Exams Current Points,Exams Final Points,Exams Current Score,Exams Final Score,Your-Choice Current Points,Your-Choice Final Points,Your-Choice Current Score,Your-Choice Final Score,Pre- Post-Tests Current Points,Pre- Post-Tests Final Points,Pre- Post-Tests Current Score,Pre- Post-Tests Final Score,Current Points,Final Points,Current Score,Final Score
10517871,BIOL-1620-001,5,8,4,4,4,10,0,10,10,10,60,61,52,58,10,10,90,10,10,,30,90,60,50,40,0,0,,,65,65,65,65,231,231,57.75,57.75,150,150,150,150,90,90,90,90,536,536,76.57,76.57
10744022,BIOL-1620-001,2,10,4,6,6,10,0,10,10,10,75,59,84,79,10,10,60,,10,20,30,70,70,50,42,0,0,,,68,68,68,68,297,297,74.25,74.25,140,140,140,140,92,92,92,92,597,597,85.29,85.29
10807655,BIOL-1620-001,2,5,2,4,6,10,4,10,10,10,60,42,45,64,,10,110,10,,,30,100,50,50,30,0,0,,,63,63,63,63,211,211,52.75,52.75,150,150,150,150,80,80,80,80,504,504,72,72
10806038,BIOL-1620-001,2,5,6,8,10,10,4,10,10,10,63,72,74,59,10,10,50,10,10,10,30,80,50,50,38,0,0,,,75,75,75,75,268,268,67,67,130,130,130,130,88,88,88,88,561,561,80.14,80.14
10769599,BIOL-1620-001,0,4,0,0,6,10,2,10,10,10,71,43,53,63,,,110,10,10,,30,100,50,50,38,0,0,,,52,52,52,52,230,230,57.5,57.5,150,150,150,150,88,88,88,88,520,520,74.29,74.29
10619367,BIOL-1620-001,4,6,6,6,0,10,4,10,10,10,89,77,85,68,10,10,60,10,10,20,30,100,50,50,50,0,0,,,66,66,66,66,319,319,79.75,79.75,150,150,150,150,100,100,100,100,635,635,90.71,90.71
10600242,BIOL-1620-001,4,0,6,4,6,10,0,10,10,10,61,64,55,64,,,130,,10,10,,100,50,50,42,0,0,,,60,60,60,60,244,244,61,61,150,150,150,150,92,92,92,92,546,546,78,78
10595063,BIOL-1620-001,2,4,2,2,0,10,0,10,10,10,56,60,44,50,10,,,10,10,30,,10,50,50,24,0,0,,,50,50,50,50,210,210,52.5,52.5,60,60,60,60,74,74,74,74,394,394,56.29,56.29
10732822,BIOL-1620-001,7,6,7,9,8,10,4,10,10,10,77,58,74,73,10,,110,10,,10,30,90,60,50,40,0,0,,,81,81,81,81,282,282,70.5,70.5,150,150,150,150,90,90,90,90,603,603,86.14,86.14
10664052,BIOL-1620-001,6,8,10,6,10,10,6,10,10,10,96,95,88,84,10,,50,,10,,30,50,50,50,50,0,0,,,86,86,86,86,363,363,90.75,90.75,100,100,100,100,100,100,100,100,649,649,92.71,92.71
10598240,BIOL-1620-001,0,5,4,2,4,0,0,10,10,0,46,0,0,0,,,,,,,,0,0,50,0,0,0,,,35,35,35,35,46,46,11.5,11.5,0,0,0,0,50,50,50,50,131,131,18.71,18.71
10731166,BIOL-1620-001,0,6,4,8,10,10,2,10,10,10,91,72,83,76,10,,110,,,,30,80,70,50,44,0,0,,,70,70,70,70,322,322,80.5,80.5,150,150,150,150,94,94,94,94,636,636,90.86,90.86
10613682,BIOL-1620-001,6,6,4,8,0,10,8,10,10,10,54,57,64,61,,,110,10,10,,,110,20,50,40,0,0,,,72,72,72,72,236,236,59,59,130,130,130,130,90,90,90,90,528,528,75.43,75.43
10638663,BIOL-1620-001,4,9,3,6,8,10,2,10,10,10,78,75,89,75,10,,90,,10,20,,50,80,50,34,0,0,,,72,72,72,72,317,317,79.25,79.25,130,130,130,130,84,84,84,84,603,603,86.14,86.14
10627498,BIOL-1620-001,4,8,6,6,4,10,2,10,10,10,89,81,78,72,10,,60,10,,20,30,80,50,50,44,0,0,,,70,70,70,70,320,320,80,80,130,130,130,130,94,94,94,94,614,614,87.71,87.71
10686971,BIOL-1620-001,6,10,6,6,8,10,10,10,10,10,93,95,98,77,10,10,60,10,10,,30,70,60,50,48,0,0,,,86,86,86,86,363,363,90.75,90.75,130,130,130,130,98,98,98,98,677,677,96.71,96.71
10460399,BIOL-1620-001,0,9,4,8,4,10,2,10,10,10,78,72,83,74,10,,60,10,10,30,30,100,50,50,38,0,0,,,67,67,67,67,307,307,76.75,76.75,150,150,150,150,88,88,88,88,612,612,87.43,87.43
10625692,BIOL-1620-001,6,6,8,6,6,10,0,10,10,10,78,73,77,74,,,80,10,10,20,30,100,50,50,44,0,0,,,72,72,72,72,302,302,75.5,75.5,150,150,150,150,94,94,94,94,618,618,88.29,88.29
10797184,BIOL-1620-001,1,4,0,6,4,10,0,10,10,0,68,58,33,51,10,,,,10,,,0,20,50,0,0,0,,,45,45,45,45,210,210,52.5,52.5,20,20,20,20,50,50,50,50,325,325,46.43,46.43
10535333,BIOL-1620-001,3,9,2,4,8,10,4,10,10,10,83,87,72,78,10,10,60,10,10,20,30,100,50,50,32,0,0,,,70,70,70,70,320,320,80,80,150,150,150,150,82,82,82,82,622,622,88.86,88.86
