TERM,CRN,SUBJ,CRS,SEC,ID,CONFID,LEVL,CLASS,COLLEGE,MAJOR1,CONC1,CONC1_2,MINOR1,MINOR1_2,MAJOR2,CONC2,CONC2_2,MINOR2,MINOR2_2
"201740","12560","BIOL","1620","001","10517871","","UG","SR","College of Science","CHEM","BCHE","","","","","","","",""
"201740","12560","BIOL","1620","001","10744022","","UG","SO","Coll Health and Public Service","EMSA","EMC","","","","","","","",""
"201740","12560","BIOL","1620","001","10807655","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12560","BIOL","1620","001","10806038","","UG","SO","Coll Humanities and Social Sci","PSY","","","","","","","","",""
"201740","12560","BIOL","1620","001","10769599","","UG","SO","College of Science","ESOR","EXSC","","","","","","","",""
"201740","12560","BIOL","1620","001","10619367","","UG","SR","College of Science","BIOL","","","","","","","","",""
"201740","12560","BIOL","1620","001","10600242","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","12560","BIOL","1620","001","10595063","","UG","JR","University College","PREP","","","","","","","","",""
"201740","12560","BIOL","1620","001","10732822","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12560","BIOL","1620","001","10664052","","UG","JR","College of Science","CHEM","BCHE","","","","","","","",""
"201740","12560","BIOL","1620","001","10598240","","UG","SO","Coll Health and Public Service","COHE","HSAD","","","","","","","",""
"201740","12560","BIOL","1620","001","10731166","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12560","BIOL","1620","001","10613682","","UG","JR","Coll Health and Public Service","EMSA","EMC","","","","","","","",""
"201740","12560","BIOL","1620","001","10638663","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12560","BIOL","1620","001","10627498","","UG","SO","College of Science","ESOR","EXSC","","","","","","","",""
"201740","12560","BIOL","1620","001","10686971","","UG","SO","College of Science","BIOL","","","","","","","","",""
"201740","12560","BIOL","1620","001","10460399","","UG","SR","University College","PREP","","","","","","","","",""
"201740","12560","BIOL","1620","001","10625692","","UG","JR","College of Science","BIOL","","","","","","","","",""
"201740","12560","BIOL","1620","001","10797184","","UG","FR","College of Science","BIOL","","","","","","","","",""
"201740","12560","BIOL","1620","001","10535333","","UG","SR","College of Science","ESOR","EXSC","","","","","","","",""
"201740","12560","BIOL","1620","001","10574808","","UG","SR","Coll Humanities and Social Sci","PSY","","","","","","","","",""
"201740","12560","BIOL","1620","001","10777432","","UG","JR","College of Science","ESOR","EXSC","","","","","","","",""
"201740","12560","BIOL","1620","001","10810721","","UG","SR","College of Science","ESOR","EXSC","","","","","","","",""
"201740","12560","BIOL","1620","001","10741606","","UG","SO","University College","PREP","","","","","","","","",""
"201740","12560","BIOL","1620","001","10344437","","UG","SO","College of Science","BOT","","","","","","","","",""
"201740","12560","BIOL","1620","001","10652952","","UG","SR","College of Science","BIOL","","","","","","","","",""
"201740","12560","BIOL","1620","001","10776611","","UG","SO","College of Science","ESOR","EXSC","","","","","","","",""
"201740","12560","BIOL","1620","001","10689826","","UG","SO","College of Science","BIOL","","","CHEM","","","","","",""
"201740","12560","BIOL","1620","001","10694491","","UG","JR","College of Science","BIOL","","","","","BIOL","","","",""
